Family Offense,4162581.4371,319273.0582
Alarm,4130738.9939,328720.6119
Theft,4161062.1342,322567.9449
Property Crime,4022311.1428,388287.6864
Theft from Vehicle,4159567.7601,328266.4404
Alarm,4130930.2293,327753.7655
Property Crime,4197430.9655,297860.2379
Theft from Vehicle,3761722.238,670808.0305
Alarm,4130563.353,328717.2981
Vehicle Stop,4374905.5469,172392.9983
Robbery,4159936.4289,322791.6943
Other,4130143.3322,327095.9037
Liquor,4156751.0301,327615.2261
Property Crime,4021071.9936,387608.684
Other,4139177.736,323875.5158
Theft,4191186.6554,298591.3917
Theft,4191291.648,299514.3272
Theft,4192486.7674,298678.616
Property Crime,4192770.7854,298428.8715
Theft,4279378.6063,251452.2021
Breaking & Entering,4280824.9107,251316.1387
Other Sexual Offense,3761265.2358,671548.9305
Sexual Assault,4021798.5236,388251.9281
Community Policing,4186090.7032,333311.373
Theft,4190827.1506,299217.575
Theft,4191149.3013,298925.2288
Theft,3760706.3034,669883.797
Other,4021866.8221,388350.7356
Theft,4095289.7691,326238.9843
Theft,4158579.9063,325296.9905
Theft,4159218.443,324263.8307
Theft,4205945.3879,297828.2351
Community Policing,4375698.5252,172086.1646
Pedestrian Stop,4129687.0274,327255.91
Other,4130986.0592,327137.4519
Other,4130973.998,325445.3887
Disorder,4130374.5792,325211.9153
Community Policing,4374057.2471,172531.3261
Other,4130636.4223,326914.2913
Community Policing,4128702.8636,326007.6827
Liquor,4160402.3972,324035.4435
Other,4130694.1649,323569.2923
Liquor,3761869.9279,671078.3075
Theft,4157430.1296,326946.0554
Other,4130163.6748,327077.1227
Assault with Deadly Weapon,3760848.4619,670584.9181
Vehicle Stop,4130232.1191,327530.2222
Disorder,4127161.9234,326965.0801
Theft,3761347.101,671970.2636
Weapons Offense,4162291.5053,321005.1765
Breaking & Entering,4161415.5512,318644.1012
Disorder,4130198.9514,327100.4313
Disorder,4021857.4016,388306.5048
Vehicle Stop,4130588.0194,327104.6491
Vehicle Stop,4129005.5195,327022.0726
Pedestrian Stop,4128516.8692,326499.8574
Assault,4280843.547,250618.2708
Breaking & Entering,4215742.3741,310792.6733
Assault,4216598.2746,311297.7314
Pedestrian Stop,4128702.8636,326007.6827
Pedestrian Stop,4129484.1777,327089.9419
Pedestrian Stop,4374428.9885,172998.7444
Liquor,4154718.5602,324974.0722
Disorder,4130938.9815,327249.1717
Vehicle Stop,4130163.6748,327077.1227
Community Policing,4130170.1881,327208.2537
Breaking & Entering,4198294.0381,297592.0235
Pedestrian Stop,4373845.1739,172726.7549
Pedestrian Stop,4129316.9186,327079.6871
Disorder,4176881.2522,331570.6356
Pedestrian Stop,4374753.6998,172497.4843
Liquor,4197794.5151,297748.2638
Family Offense,4374305.6727,172642.1399
Drugs,4130135.0753,327994.5302
Disorder,4375173.2764,172118.4385
Disorder,4130051.1183,327526.685
Traffic,4159218.443,324263.8307
Traffic,4374016.9713,172358.1693
Pedestrian Stop,4130139.4191,327576.0059
Breaking & Entering,4155523.7745,328139.8344
Pedestrian Stop,4130798.4338,328076.9162
Breaking & Entering,4158033.5862,326406.9912
Breaking & Entering,3762096.558,671691.0766
Liquor,4130043.6194,327638.0796
Pedestrian Stop,4130143.5166,327421.6519
Community Policing,4374714.3154,172895.3467
Robbery,3760922.4291,670048.503
Family Offense,4160173.6171,322939.2779
Pedestrian Stop,4374598.3523,172446.215
Community Policing,4130163.6748,327077.1227
Disorder,4374739.4528,172327.737
Disorder,4130193.2066,328685.0163
Pedestrian Stop,4130051.1183,327526.685
Other,4130146.5836,327206.4363
Liquor,4130142.1936,327528.0351
Liquor,4129903.9746,327241.6486
Vehicle Stop,4159740.6105,325962.8647
Drugs,4176178.2992,329581.7687
Other,4130563.3542,328717.236
Disorder,4128387.2294,326028.6826
Community Policing,4130626.6702,327654.3874
Emergency,4135860.9573,332071.388
Other,4130932.0104,327661.1711
Theft,4160235.1175,324346.2963
Theft from Vehicle,4130851.4984,326051.7565
Liquor,4130142.1936,327528.0351
Other,4129192.7658,326219.6538
Traffic,4130942.3588,328826.8814
Disorder,4130902.3518,326921.1132
Disorder,4374467.8773,172575.8269
Other,4130163.6748,327077.1227
Community Policing,4130851.4984,326051.7565
Emergency,4129527.8277,327081.9952
Assault,4127632.8516,325545.5223
Community Policing,4373453.3008,172390.3203
Liquor,4130132.7668,328032.9015
Other,4239429.9504,319195.9967
Disorder,4160150.4562,318218.1777
Disorder,4309096.1825,407111.3676
Disorder,4130132.7668,328032.9015
Liquor,4159919.1651,326261.3045
Property Crime,4130698.5172,327345.7485
Disorder,4339810.9352,223442.1863
Other,4130780.6,328383.0682
Liquor,4198039.651,297953.5148
Breaking & Entering,4160780.3745,324308.0698
Family Offense,3760830.2908,670816.9979
Family Offense,4161210.0017,322620.6287
Disorder,4129025.7038,326768.3216
Drugs,4129445.6181,326907.6574
Traffic,4374470.0852,172453.4785
Theft,4191392.0029,299263.3873
Breaking & Entering,4160056.4934,324327.0185
Theft,4191622.9178,298206.065
Community Policing,4374878.4599,172458.6617
Disorder,4129025.7038,326768.3216
Disorder,4130126.1082,328189.2257
Traffic,4375721.4285,172380.7599
Traffic,4130277.2078,327749.3436
Disorder,4130934.9848,328705.1521
Traffic,4373458.829,172256.8355
Alarm,4374898.4672,172355.6804
Disorder,4131618.0067,328010.2594
Disorder,4162202.6106,325464.9128
Other,4009008.2639,398110.3703
Traffic,4375581.5996,172370.1307
Assault,4308251.0488,407193.1768
Alarm,4127702.9135,326509.4898
Assault,4193083.2682,298274.2436
Disorder,4373653.0115,172475.8424
Disorder,4128877.0798,326163.3375
Other,4130132.7668,328032.9015
Traffic,4158803.3048,324938.7468
Traffic,4157661.0451,323216.1265
Vehicle Stop,4372452.1978,172098.7583
Other,4022532.0909,387896.0053
Breaking & Entering,4307567.9646,406448.8646
Disorder,4131039.5826,327673.5588
Other,4130563.3542,328717.236
Property Crime,4176904.2668,335263.4634
Other,4129366.0997,325136.3002
Drugs,4278698.1535,250698.6529
Weapons Offense,4374408.4031,173609.0447
Liquor,4162330.0162,325834.6663
Community Policing,4373453.3008,172390.3203
Theft,4095184.6367,326206.3771
Other,4130573.4678,328717.3716
Traffic,4130563.3542,328717.236
Robbery,3760337.9869,669711.0253
Alarm,4130459.9177,328715.4508
